user_name,bid_no,name_of_work,category,ministry_and_department,quantity,emd,exemption,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6499832,"C40310AA,C40320AA,C10098AA,C30282AA,C30130AA,B20166AA,B20149AA,C30140AA,D20515AA,K40300AA,B20166AA,",,Ministry of Defence - Department of Defence,96,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8142522,https://bidplus.gem.gov.in/showbidDocument/8142522,16-08-2025 13:00:00
mahi,GEM/2025/B/6499780,"Hiring of Earth Moving Equipments, Material Handling Equipments and Cranes (per Hour basis) - As Pe",,Ministry of Defence - Department of Defence,4,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8142468,https://bidplus.gem.gov.in/showbidDocument/8142468,16-08-2025 12:00:00
mahi,GEM/2025/B/6499549,"Hiring of Earth Moving Equipments, Material Handling Equipments and Cranes (per Hour basis) - As Pe",,Ministry of Defence - Department of Defence,5,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8142193,https://bidplus.gem.gov.in/showbidDocument/8142193,16-08-2025 12:00:00
mahi,GEM/2025/B/6499202,"PAINT RFU RED,PAINT DARK BLUE,PAINT WHITE,WELDING ROD,PAINT RFU BLACK,PAINT RFU YELLOW,PAINT GREEN ",,Ministry of Defence - Department of Defence,219,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8141782,https://bidplus.gem.gov.in/showbidDocument/8141782,16-08-2025 11:00:00
mahi,GEM/2025/B/6499083,"Hiring of Earth Moving Equipments, Material Handling Equipments and Cranes (per Hour basis) - As Pe",,Ministry of Defence - Department of Defence,3,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8141635,https://bidplus.gem.gov.in/showbidDocument/8141635,16-08-2025 11:00:00
mahi,GEM/2025/B/6470974,ni vision binocular,,Ministry of Defence - Department of Military Affairs,5,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8109807,https://bidplus.gem.gov.in/showbidDocument/8109807,16-08-2025 19:00:00
mahi,GEM/2025/B/6445949,Multifunction Machine MFM (V2),,Ministry of Defence - Department of Military Affairs,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081334,https://bidplus.gem.gov.in/showbidDocument/8081334,16-08-2025 12:00:00
mahi,GEM/2025/B/6415978,"RCC Column,Tie beam to connect all foundation column,Total column height 12.5 m from ground,MS Cheq",,Ministry of Defence - Department of Military Affairs,143,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8047516,https://bidplus.gem.gov.in/showbidDocument/8047516,16-08-2025 10:00:00
mahi,GEM/2025/B/6415758,"Flower and Decoration for Wreath Laying,Arrangements for Cultural Show,Refreshment and Drinks for G",,Ministry of Defence - Department of Military Affairs,118,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8047288,https://bidplus.gem.gov.in/showbidDocument/8047288,16-08-2025 11:00:00
mahi,GEM/2025/B/6413914,"Galluk,Galle,Rajatopi,Refreshment and Drinks,Prizes for Cultural Pgme,Flex Banner Printings",,Ministry of Defence - Department of Military Affairs,177,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8045211,https://bidplus.gem.gov.in/showbidDocument/8045211,16-08-2025 12:00:00
mahi,GEM/2025/B/6540803,"FUEL FEED PUMP,INJECTOR NOZZLE ASSEMBLY,PISTON RING SET,Cylinder Head Assembly,Cylinder Head Gasket",,Ministry of Defence - Department of Military Affairs,22,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8188795,https://bidplus.gem.gov.in/showbidDocument/8188795,16-08-2025 13:00:00
mahi,GEM/2025/B/6540172,"Automatic Voltage Regulator,Diode,Battery Lead,Piston Assembly,Connecting Rod,Connecting Rod Bearin",,Ministry of Defence - Department of Military Affairs,24,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8188096,https://bidplus.gem.gov.in/showbidDocument/8188096,16-08-2025 12:00:00
mahi,GEM/2025/B/6540039,"OIL FILTER CARTRIDGE,AIR CLEANER FILTE,FUEL FILTER ELEMENT,FUEL PIPE LINE 19X19,FAN BELT,FUEL PUMP ",,Ministry of Defence - Department of Military Affairs,17,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187946,https://bidplus.gem.gov.in/showbidDocument/8187946,16-08-2025 11:00:00
mahi,GEM/2025/B/6539325,"PV Adopter,wind screen glass,air compressor hose,air compressor gasket,regulator bush box,speedomet",,Ministry of Defence - Department of Military Affairs,54,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187162,https://bidplus.gem.gov.in/showbidDocument/8187162,16-08-2025 11:00:00
mahi,GEM/2025/B/6539309,"oil filter,fuel filter,water separator,air filter,turbo charger,oil filter",,Ministry of Defence - Department of Military Affairs,6,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187146,https://bidplus.gem.gov.in/showbidDocument/8187146,16-08-2025 10:00:00
mahi,GEM/2025/B/6539291,"injector,motor 4x4,4x4 sensor,fuel filter 340,water separator 301,fuel filter 430,injector nozzle",,Ministry of Defence - Department of Military Affairs,12,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187128,https://bidplus.gem.gov.in/showbidDocument/8187128,16-08-2025 11:00:00
mahi,GEM/2025/B/6539273,"field coil 24v,brush plate,bush set,pole screw,chain sprocket set",,Ministry of Defence - Department of Military Affairs,34,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187110,https://bidplus.gem.gov.in/showbidDocument/8187110,16-08-2025 11:00:00
mahi,GEM/2025/B/6539231,"wheel cylinder assy,brake booster,oil seal,outer handle,self startor assy,oil cooler hose,buzzer sp",,Ministry of Defence - Department of Military Affairs,21,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8187064,https://bidplus.gem.gov.in/showbidDocument/8187064,16-08-2025 10:00:00
mahi,GEM/2025/B/6538943,"FAN BELT,FUEL PUMP,FUEL FEED PUMP ASSEMBLY,OIL FILTER,AIR FILTER,FEED PUMP,FUEL PIPE 19X19,FAN BELT",,Ministry of Defence - Department of Military Affairs,26,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8186751,https://bidplus.gem.gov.in/showbidDocument/8186751,16-08-2025 20:00:00
mahi,GEM/2025/B/6538929,"Lether Cloth Black,Leather Cloth Green,Flexible Pipe,Cotton Thread Black,Cotton Thread Green",,Ministry of Defence - Department of Military Affairs,181,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8186734,https://bidplus.gem.gov.in/showbidDocument/8186734,16-08-2025 20:00:00
