department,tender_id,name_of_work,location,closing_date
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255349,HYALURONIC ACID 40 MG + SORBITOL 80 MG INJECTION.,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255584,TABLET ROSUVASTATINE 10 MG,Goods & Service,15/08/2025
DAHOD/WESTERN RLY,61255871,ANODIZED PLATE,Goods & Service,15/08/2025
STORES/WESTERN RLY,26252048,Fish bolts and Nuts of size 25 x 490 mm to RDSO Drg No. T-11544,Goods & Service,15/08/2025
SEALDAH DIVISION-MECHANICAL/EASTERN RLY,MC_SC_ACWP_CP_R2025,"CAMC(Comprehensive Annual Maintenance Contract) of Automatic Coach Washing Plant (ACWP) at Kolkata Terminal, Eastern Rai......",Works,15/08/2025
STORES/CRJ/CLW,92255548,K Electrode for ISE (ITEM CODE 11395) (I [K Electrode for ISE (ITEM CODE 11395) (ITEM MUST BE COMPATIBLE WITH XL-640/XL ......,Goods & Service,15/08/2025
SR-CONST-HQ-ELECTRICAL/SOUTHERN RLY,E148-CN-TPJ-TF-049,Creation of Maintenance facilities for Conv/3-ph MEMU Rakes  at Tiruchirappalli (Phase-I)::  Removal / Modification of T......,Works,15/08/2025
BGA/DLS/EASTERN RLY,65255094,Loco Bogie Berthing Stand,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255657,Inj. Carboplatin 600mg. vial.,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255795,Botulinum Toxin Type A 50 iu.,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255359,"QUADRIVALENT HUMAN PAPILLOMAVIRUS TYPES (6,11,16,18) RECOMBINANT VACCINE INJECTION/PFS",Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255351,INSULIN GLARGINE 300 IU ML CARTRIDGE 1.5 ML,Goods & Service,15/08/2025
STORES/NORTHERN RLY,82254879,(AMI NO.26DR56/25-26) Sterile Human Amnion Chorion,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255357,HEPATITIS A VACCINE SINGLE DOSE INJECTION,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255358,DENOSUMAB 60 MG INJECTION,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255355,LINEZOLID 600 MG IV INJECTION,Goods & Service,15/08/2025
BRC-DIV/WESTERN RLY,82255342C,"Electronic Driver(IP-65),Up Down Lighter & Flexible NEON IP-65 LED strip",Goods & Service,15/08/2025
STORES/CRJ/CLW,92255659,Tablet Amlodipine 5 mg,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255350,QUADRIVALENT INFLUENZA VACCINE INJ.,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255356,HUMAN SERUM ALBUMIN INFUSION 20%/100ML INJECTION,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255360,INSULIN DEGLUDEC 100 IU PER ML 3 ML CARTRIDGE,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255352,TENECTEPLASE 40 MG INJECTION,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255353,CHOLECALCIFEROL (VITAMIN D3) 400 IU PER ML ORAL DROPS 15 ML.,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255346,TERIPARATIDE CARTRIDGE 250 MCG/ML 3 ML INJECTION,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255348,DENOSUMAB 120 MG INJECTION,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255656,Inj. Paclitaxel 260 mg VIAL,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255796,INJ. RECOMBINANT SOMATROPIN 5MG((3.33mg/ [INJ. RECOMBINANT SOMATROPIN 5MG((3.33mg/ml) Multi-Dose vial (90 nos of Syringe......,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255354,MULTI VITAMIN DROPS 15 ML,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255362,SEMAGLUTIDE 3 MG ORAL TABLET,Goods & Service,15/08/2025
STORES/CRJ/CLW,92255798,TAB AXITINIB 5MG,Goods & Service,15/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,CH255361,INSULIN ASPART PENFILS,Goods & Service,15/08/2025
