department,tender_id,name_of_work,location,closing_date
LOCO SHED-GONDA-ELECTRICAL/NORTH EASTERN RLY,LS-GD-25-Ovh-Aux-Motor-R2,Overhauling of Auxiliary Motors of conventional and 3 phase elect. locos of GD and GKP shed for 2 years,Works,16/08/2025
UDL/DSL/EASTERN RLY,73255150,"Teflon hose 13/32"", 4.3 m length with en [Teflon hose 13/32"", 4.3 m length with end fittings and connectors.]",Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255172,"Consumable spares for EECI make Axle tes [Consumable spares for EECI make Axle tester (UFD machine), Model: DIGISCAN DS ......",Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255157,PACKING ITEM FOR BATTERY COMPARTMENT OF [PACKING ITEM FOR BATTERY COMPARTMENT OF HHP LOCO : HARD NEOPRENE RUBBER SIZE : ......,Goods & Service,16/08/2025
DAHOD/WESTERN RLY,61251542,GAS CARBON DIOXIDE,Goods & Service,16/08/2025
MX-EMU/WESTERN RLY,57255547,Operating rod+Bellows TCSG-310049-R1.,Goods & Service,16/08/2025
SD-EMU CARSHED-NKG-STORES/EASTERN RLY,33255600,One set consisting of following 03 items.,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255266A,Pneumatic Needle Scaler Heavy Duty with Cushion rip Pistol type,Goods & Service,16/08/2025
GSD/HLR/EASTERN RLY,53256246,Procurement of Angle support for Longitudinal at the end etc.,Goods & Service,16/08/2025
JMP/EASTERN RLY,55255903,Vertical Vibration Damper Hanging Bolt,Goods & Service,16/08/2025
SAMBALPUR/DIV/ECOR,40255843,TAB. DICYCLOMINE HCL 20 MG + PARACETAMOL 500 MG.,Goods & Service,16/08/2025
CMS-SBP-MEDICAL/ECOR,54255032C,"1) INJ. DICYCLOMINE HCL 20 MG-10 MG/ ML - IN 2 ML AMP
2) INJ. TRAMADOL 50MG/ML, 2ML AMP.
3) INJ. HYDROCORTISONE SODIUM S......",Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255242B,Argo shield gas,Goods & Service,16/08/2025
SD-EMU CARSHED-NKG-STORES/EASTERN RLY,33255601,Loco Pilots Trolly bag.,Goods & Service,16/08/2025
CMS-SBP-MEDICAL/ECOR,54255064B,ANALGESIC WITH ANTIBIOTIC EAR DROPS-ANTIBIOTICS + LIGNOCAINE-10ML PHS.,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255018B,DOL Starter,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255267A,Heavy Duty LED sight light,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73251114,Nomex Armide paper Size: 0.38mm x 914mm [Nomex Armide paper Size: 0.38mm x 914mm width length in roll Conforming to DMW/......,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72245050D,Hex Head bolt High,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255105C,Hose for cab Heater,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255243B,Small Diaphragm,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72245471A,Industrial Grade Glycerin,Goods & Service,16/08/2025
JMP/EASTERN RLY,55255904,Compressor foundation bolt,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255151A,Teflon Hose to ID-1/2 inch SS 304 steel [Teflon Hose to ID-1/2 inch SS 304 steel Braided 46 inch long End fitting F-STR/......,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255159,"Set of hex head bolt, nut, one plain was [Set of hex head bolt, nut, one plain washer, one spring washer for HHP Diesel ......",Goods & Service,16/08/2025
MX-EMU/WESTERN RLY,57255558,Set of Cable Gland of BHEL make Traction motor IM 3601 AZ,Goods & Service,16/08/2025
JMP/EASTERN RLY,55255906,"Bolt 3/8""X24 X 3/4"" Hex",Goods & Service,16/08/2025
JMP/EASTERN RLY,55255855,PVC PIPE 1.5 INCH,Goods & Service,16/08/2025
LLH/EASTERN RLY,52256631,Set of Furniture consisting of 03 items,Goods & Service,16/08/2025
GSD/AMV/NORTHERN RLY,51255556,Lavatory Door Arrangement,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72251127,FEMALE SWIVEL ASSLY,Goods & Service,16/08/2025
C-BG/BVP/WESTERN RLY,78255243A,08 KW 240/415V Water immersion heater,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255287A,Cooper cable lug,Goods & Service,16/08/2025
C-WSHOP-TPTY-MECHANICAL/SOUTH CENTRAL RLY,05-Mech-EPPFS-SHIFT-25-26,Shifting of EPPFS from underslung to onboard at Workshops and Divisions of S.C.Railway,Works,16/08/2025
C-WSHOP-LGD-MECHANICAL/SOUTH CENTRAL RLY,2-CWMLGDRBK-ET-2025-26,"Fabrication and Painting of LHB FIAT Bogie frames including welding torch consumables at Rail Bogie Karkhana, S.C.Railwa......",Works,16/08/2025
STORES/KOL/CLW,25255115,Set of LINK-C (05 items).,Goods & Service,16/08/2025
C-BG/BVP/WESTERN RLY,78255414,HIGH BUILD EPOXY PAINT,Goods & Service,16/08/2025
GSD/NAGPUR/SOUTH EAST CENTRAL RLY,MIBW202519060504,"Hiring services of 'Attendants in lieu of TADK' for 03 officers under Motibagh
Workshop, Nagpur as per scope o......",Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255166,Set of different range of pressure gauge [Set of different range of pressure gauge with Teflon hose pipe and M.S connect......,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255171,"Consumables for Modsonic make Axle teste [Consumables for Modsonic make Axle tester, Model:Arya 1 (R). 1) Normal single ......",Goods & Service,16/08/2025
CENTRAL HOSPITAL-ALD-MEDICAL/NORTH CENTRAL RLY,11PATHLABCHNCRBC2025,"1.ITEM:-Bact/Alert FA PLUS(Blood culture) PACK SIZE:-100 TEST Bottle PER PKT, MAKE:-BIOMERIEUX INDIA PVT LTD.",Goods & Service,16/08/2025
CMS-SBP-MEDICAL/ECOR,54255031C,SYP. LEVOCLOPERASTINE - 20MG /5ML-100ML BOTTLE,Goods & Service,16/08/2025
GSD/HLR/EASTERN RLY,53256247,Procurement of Supply and fixing of mesh of size 50 x 50 x 03 mm industrial etc.,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73255160A,Set of spares to providing dry & oil fre [Set of spares to providing dry & oil free compressed air to operate pneumatic ......,Goods & Service,16/08/2025
GSD/HLR/EASTERN RLY,53256228,Procurement of Set of Electrical Grinding item & its kit as per etc.,Goods & Service,16/08/2025
GSD/HLR/EASTERN RLY,53256244,Procurement of Additional Air reservoir 40 Ltr. Capacity,Goods & Service,16/08/2025
DSD/SBI/WESTERN RLY,72255109,Silicon based grease,Goods & Service,16/08/2025
ELS-LOCO-KJGY-ELECTRICAL/NORTHERN RLY,ELS-SRE-2025-26-QTN-02,Removal of MS Plate and/ or dummy plate welded over an existing AC trough at a Cab roof of Electric locos at ELS/SRE.,Works,16/08/2025
STORES/TKJ/RCF,05251524,SET OF RAIN WATER GUTTER,Goods & Service,16/08/2025
STORES/TKJ/RCF,05251450,HANDLE LOCKING ARRANGEMENT,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256598,Factory-sealed dual-pane window unit,Goods & Service,16/08/2025
CRW/MCS/ECOR,92251262,"Locking Pin Internal for end sliding door of LHB Coaches, to Drawing / Specification No. LW56359, Alt. No. Nil. [",Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255850,SET OF LED BASED FLASHER LIGHT UNIT 110 [SET OF LED BASED FLASHER LIGHT UNIT 110 VOLT DC FOR DEMU /DPC AS PER RDSO SPECN......,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256389A,Vacuum Circuit breaker,Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255815,"32 Amps Air break power contactor with A [32 Amps Air break power contactor with Auxiliary contacts 2NO+2NC, AC- 3 duty,......",Goods & Service,16/08/2025
WADIBUNDER/DEPOT/CENTRAL RLY,73255536,Warning Device (Buzzer) for automatic plug door,Goods & Service,16/08/2025
CRW/MCS/ECOR,92251264,Spring Guide Upper to RCF Drg. No. 1254690 VER 03 & EN 1.0570;10025/29,Goods & Service,16/08/2025
SPJ/EAST CENTRAL RLY,70251355,Push Type Flushing Valve,Goods & Service,16/08/2025
WADIBUNDER/DEPOT/CENTRAL RLY,73255529,Cam Roller for automatic plug door,Goods & Service,16/08/2025
TRS/GMO/EAST CENTRAL RLY,30251190A,SET OF OVERHAULING KIT FOR 3/2 WAY COCK,Goods & Service,16/08/2025
TRS/GMO/EAST CENTRAL RLY,30255153,Supply of spares for repairing of MFI an [Supply of spares for repairing of MFI and peripheral PCB cards as per annexure......,Goods & Service,16/08/2025
CRW/MCS/ECOR,92251259,"U-Clamp for 25 mm Bore Pipe with Spring Washer & Hexagonal Nut M-10, to Drawing/Specification ICF's Drg No.WGSCN/C-3-5-0......",Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256543,Stabilizing assembly Press Machine,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85251772,DENSIFIED THERMAL BONDED POLYSTER BLOCKS FOR GS-SLR COACHES,Goods & Service,16/08/2025
SPJ/EAST CENTRAL RLY,70251268A,Paint enamel synthetic interior finishing smoke grey to ISC : 692 of IS:5/2007 to IS: 133/2023 along with additional sti......,Goods & Service,16/08/2025
STORES/TKJ/RCF,05251456,HOUSING FOR ALARM PULL HANDLE,Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255759A,ANTI WEAR HYDRAULIC OIL TO IS:11656/1992 [ANTI WEAR HYDRAULIC OIL TO IS:11656/1992 (Gr.VG 68). ACCEPTED BRANDS ONLY (1) ......,Goods & Service,16/08/2025
